model,docs_processed,pages_processed,avg_latency_sec,p95_latency_sec,max_latency_sec,price_per_1k_pages_used,estimated_cost_usd,estimated_cost_usd_batch_api,cost_per_page_usd
mistral-ocr-3,23,33,2.865217391304348,4.202,7.68,3.0,0.099,0.033,0.003
mistral-ocr-2512,23,33,2.9130434782608696,4.643,6.12,5.0,0.165,0.066,0.005
mistral-ocr-3-0,23,33,3.103478260869565,6.514999999999997,8.38,3.0,0.099,0.033,0.003
mistral-ocr-4-0,23,33,3.4130434782608696,6.827,7.85,5.0,0.165,0.066,0.005
mistral-ocr-4-1,23,33,3.5860869565217395,8.090999999999998,8.51,5.0,0.165,0.066,0.005
mistral-ocr-4,23,33,3.627391304347826,8.391999999999996,9.0,5.0,0.165,0.066,0.005
mistral-ocr-latest,23,33,4.007826086956522,9.209999999999997,9.65,5.0,0.165,0.066,0.005
