model,avg_page_confidence,min_page_confidence,n_blocks,n_tables,n_titles,n_signatures,latency_sec,pages_processed
mistral-ocr-2512,0.9925842327386611,0.9425761262802627,0,0,0,0,2.26593279838562,1
mistral-ocr-3-0,0.9920295851681584,0.9380121531168388,0,0,0,0,2.7849509716033936,1
mistral-ocr-3,0.9920295851681584,0.9380121531168388,0,0,0,0,2.245126485824585,1
mistral-ocr-4-0,0.9995949717437177,0.9995949717437177,2,1,0,0,2.508512020111084,1
mistral-ocr-latest,0.9994311000461822,0.998301297143782,2,1,0,0,4.330871105194092,1
mistral-ocr-4,0.9994033647945223,0.998295713370184,2,1,0,0,2.6732122898101807,1
mistral-ocr-4-1,0.9991904480977772,0.997250745155935,2,1,0,0,2.7412455081939697,1
